Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
12-03-20,51-60,2,6,11/27/2020 02:15:01 PM
13-03-20,51-60,3,9,11/27/2020 02:15:01 PM
14-03-20,51-60,1,10,11/27/2020 02:15:01 PM
15-03-20,51-60,0,10,11/27/2020 02:15:01 PM
16-03-20,51-60,8,18,11/27/2020 02:15:01 PM
17-03-20,51-60,3,21,11/27/2020 02:15:01 PM
18-03-20,51-60,4,25,11/27/2020 02:15:01 PM
19-03-20,51-60,3,28,11/27/2020 02:15:01 PM
20-03-20,51-60,4,32,11/27/2020 02:15:01 PM
21-03-20,51-60,7,39,11/27/2020 02:15:01 PM
22-03-20,51-60,5,44,11/27/2020 02:15:01 PM
23-03-20,51-60,7,51,11/27/2020 02:15:01 PM
24-03-20,51-60,6,57,11/27/2020 02:15:01 PM
25-03-20,51-60,5,62,11/27/2020 02:15:01 PM
26-03-20,51-60,9,71,11/27/2020 02:15:01 PM
27-03-20,51-60,4,75,11/27/2020 02:15:01 PM
28-03-20,51-60,6,81,11/27/2020 02:15:01 PM
29-03-20,51-60,0,81,11/27/2020 02:15:01 PM
30-03-20,51-60,6,87,11/27/2020 02:15:01 PM
31-03-20,51-60,9,96,11/27/2020 02:15:01 PM
01-04-20,51-60,5,101,11/27/2020 02:15:01 PM
02-04-20,51-60,3,104,11/27/2020 02:15:01 PM
03-04-20,51-60,5,109,11/27/2020 02:15:01 PM
04-04-20,51-60,2,111,11/27/2020 02:15:01 PM
05-04-20,51-60,4,115,11/27/2020 02:15:01 PM
06-04-20,51-60,6,121,11/27/2020 02:15:01 PM
07-04-20,51-60,5,126,11/27/2020 02:15:01 PM
08-04-20,51-60,14,140,11/27/2020 02:15:01 PM
09-04-20,51-60,16,156,11/27/2020 02:15:01 PM
10-04-20,51-60,7,163,11/27/2020 02:15:01 PM
11-04-20,51-60,3,166,11/27/2020 02:15:01 PM
12-04-20,51-60,5,171,11/27/2020 02:15:01 PM
13-04-20,51-60,4,175,11/27/2020 02:15:01 PM
14-04-20,51-60,9,184,11/27/2020 02:15:01 PM
15-04-20,51-60,3,187,11/27/2020 02:15:01 PM
16-04-20,51-60,5,192,11/27/2020 02:15:01 PM
17-04-20,51-60,6,198,11/27/2020 02:15:01 PM
18-04-20,51-60,1,199,11/27/2020 02:15:01 PM
19-04-20,51-60,9,208,11/27/2020 02:15:01 PM
20-04-20,51-60,9,217,11/27/2020 02:15:01 PM
21-04-20,51-60,5,222,11/27/2020 02:15:01 PM
22-04-20,51-60,4,226,11/27/2020 02:15:01 PM
23-04-20,51-60,5,231,11/27/2020 02:15:01 PM
24-04-20,51-60,7,238,11/27/2020 02:15:01 PM
25-04-20,51-60,5,243,11/27/2020 02:15:01 PM
26-04-20,51-60,5,248,11/27/2020 02:15:01 PM
27-04-20,51-60,3,251,11/27/2020 02:15:01 PM
28-04-20,51-60,9,260,11/27/2020 02:15:01 PM
29-04-20,51-60,6,266,11/27/2020 02:15:01 PM
30-04-20,51-60,4,270,11/27/2020 02:15:01 PM
01-05-20,51-60,5,275,11/27/2020 02:15:01 PM
02-05-20,51-60,2,277,11/27/2020 02:15:01 PM
03-05-20,51-60,3,280,11/27/2020 02:15:01 PM
04-05-20,51-60,0,280,11/27/2020 02:15:01 PM
